Date,Open,High,Low,Close,Adj Close,Volume,10MA,20MA,50MA,200MA,BB(Up),BB(Mid),BB(Down),RSI(9),RSI (14),"MACD(12,26,9) (MACD Line)","MACD(12,26,9) (Signal Line)","MACD(12,26,9) (Histogram)",ATR
2023-08-10,15202.5,15442.25,15136.0,15201.25,15201.25,807104,15500.72,15601.22,15240.56,13004.38,16068.14,15601.22,15134.31,35.74,43.05,19.29,111.67,-92.38,247.81
2023-08-11,15219.0,15266.75,15037.25,15095.75,15095.75,613959,15425.55,15571.3,15256.46,13022.47,16087.25,15571.3,15055.35,31.99,40.2,-9.29,87.48,-96.77,246.5
2023-08-14,15104.0,15282.0,15020.75,15270.25,15270.25,554628,15366.82,15542.78,15272.42,13040.25,16059.09,15542.78,15026.46,43.09,46.51,-17.65,66.45,-84.1,247.56
2023-08-15,15279.0,15335.0,15074.75,15106.5,15106.5,593602,15295.75,15499.36,15283.05,13058.55,16008.7,15499.36,14990.02,36.76,42.03,-37.06,45.75,-82.81,248.46
2023-08-16,15110.75,15166.0,14921.5,14942.25,14942.25,641607,15242.68,15448.51,15290.12,13077.09,15967.51,15448.51,14929.52,31.53,38.06,-64.95,23.61,-88.56,248.18
2023-08-17,14940.25,15018.25,14738.25,14778.0,14778.0,681399,15176.6,15407.8,15293.95,13093.04,16001.67,15407.8,14813.93,27.18,34.55,-99.16,-0.94,-98.22,250.45
2023-08-18,14748.0,14802.75,14609.25,14744.0,14744.0,731241,15115.6,15368.0,15302.2,13109.53,16027.62,15368.0,14708.38,26.33,33.86,-127.55,-26.27,-101.29,246.38
2023-08-21,14762.5,15013.75,14720.5,14985.75,14985.75,641685,15065.62,15339.22,15311.85,13127.79,16013.4,15339.22,14665.05,41.02,42.69,-129.05,-46.82,-82.23,249.73
2023-08-22,14974.5,15118.25,14932.0,14958.5,14958.5,623728,15026.05,15303.5,15319.9,13147.86,15978.92,15303.5,14628.08,40.01,42.01,-130.93,-63.65,-67.29,245.2
2023-08-23,14959.75,15356.75,14957.25,15195.5,15195.5,606168,15027.78,15282.74,15327.8,13170.2,15943.77,15282.74,14621.71,51.67,49.55,-112.01,-73.32,-38.69,256.22
