Date,Open,High,Low,Close,Adj Close,Volume
2024/7/12,20432.75,20741,20335,20524,20524,724343
2024/7/11,20895.5,20983.75,20377.25,20441.75,20441.75,906128
2024/7/10,20686,20916.75,20684.5,20899.75,20899.75,576694
2024/7/9,20681,20771.75,20615.75,20678.5,20678.5,569689
2024/7/8,20591.5,20688,20579.25,20659.75,20659.75,497107
2024/7/5,20419.25,20639.5,20361,20620.75,20620.75,600207
2024/7/3,20241,20435.25,20205,20411.5,20411.5,395129
2024/7/2,20045.75,20259.25,19910,20255.25,20255.25,621477
2024/7/1,19970,20074,19811.75,20052,20052,639341
2024/6/28,20063.25,20273.25,19906.25,19927.25,19927.25,750324
2024/6/27,19946,20116.75,19874.25,20039.5,20039.5,589649
2024/6/26,19973,20070.5,19901,20012.5,20012.5,590175
2024/6/25,19756,19981.25,19726,19972.25,19972.25,574518
2024/6/24,20014.75,20030.25,19728,19750.75,19750.75,683900
2024/6/21,19781.25,19819.25,19687.5,19747.29,19747.29,590839
2024/6/20,19930.25,20095,19694.25,19763.25,19763.25,157046
2024/6/18,19918.5,19996.5,19851.75,19919.25,19919.25,201834
2024/6/17,19695,20001,19640.5,19921.25,19921.25,423232
2024/6/14,19602.75,19699.5,19501.5,19685.5,19685.5,584288
2024/6/13,19602,19691,19500,19602.5,19602.5,584725
2024/6/12,19248,19612.25,19233.5,19496.5,19496.5,691079
2024/6/11,19107.25,19257.5,18994.5,19242.25,19242.25,564706
2024/6/10,19025,19129.75,18974.25,19109.75,19109.75,571666
2024/6/7,19064,19155,18940,19037.75,19037.75,612033
2024/6/6,19089.5,19124.5,19017.25,19060.25,19060.25,524900
2024/6/5,18711,19090.5,18696.25,19074.25,19074.25,575227
2024/6/4,18662.5,18753.25,18511.25,18701,18701,616703
2024/6/3,18590.25,18755.5,18435.75,18646.25,18646.25,669104
2024/5/31,18590.75,18668.25,18241.25,18591,18591,834003
2024/5/30,18753,18787,18546.25,18606.5,18606.5,619548
2024/5/29,18949.5,18949.75,18740,18802.75,18802.75,573938
2024/5/28,18874.75,18980.5,18819.5,18940.5,18940.5,642954
2024/5/24,18684,18926,18680,18876,18876,552083
2024/5/23,18860.5,19023.25,18621.5,18696.25,18696.25,851576
2024/5/22,18798.25,18891,18684.25,18786.75,18786.75,578439
2024/5/21,18746,18808.75,18678,18799.25,18799.25,426117
2024/5/20,18633.5,18794.5,18633,18763,18763,470381
2024/5/17,18642,18686.75,18545,18635.25,18635.25,489227
2024/5/16,18693.25,18760.75,18633.25,18650,18650,548582
2024/5/15,18409.75,18707,18393,18691.75,18691.75,605869
2024/5/14,18282,18433,18165.5,18415,18415,555369
2024/5/13,18238,18336.25,18228.75,18295.5,18295.5,411036
2024/5/10,18226,18348,18188.5,18255,18255,473881
2024/5/9,18160.75,18240.25,18103.75,18214.5,18214.5,471196
2024/5/8,18194,18242.25,18072.5,18186.5,18186.5,453714
2024/5/7,18189.5,18266.25,18151,18199.5,18199.5,469722
2024/5/6,18047.5,18201.25,17983.75,18195.5,18195.5,395489
2024/5/3,17744.25,18050.25,17719.5,18000.75,18000.75,556949
2024/5/2,17487,17755.25,17386.25,17649.75,17649.75,635300
2024/5/1,17462.5,17793.25,17399.25,17438.25,17438.25,791170
2024/4/30,17918.5,17920.25,17473.5,17571.25,17571.25,677704
2024/4/29,17864.75,17949,17791.25,17904.25,17904.25,528891
2024/4/26,17808.25,17901.5,17668.25,17845.75,17845.75,628227
2024/4/25,17450,17827.5,17308.25,17567.5,17567.5,820011
2024/4/24,17682,17795.5,17481.75,17664.5,17664.5,667402
2024/4/23,17352.25,17666,17286.25,17606.75,17606.75,601826
2024/4/22,17228.25,17448,17148.5,17350,17350,646130
2024/4/19,17530.75,17553.25,17113.25,17180.75,17180.75,1023135
2024/4/18,17669.75,17770.75,17506.25,17547.25,17547.25,756158
